City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,21.58,63,1,8.18,ZA,1675877327
1,santa fe,-31.6333,-60.7,41.12,13,52,2.24,AR,1675877342
2,rikitea,-23.1203,-134.9692,26.16,75,4,6.11,PF,1675877283
3,tasiilaq,65.6145,-37.6368,-15.91,54,0,4.65,GL,1675877429
4,busselton,-33.65,115.3333,15.97,85,0,5.17,AU,1675877283
5,shenjiamen,29.9576,122.298,10.18,83,100,4.99,CN,1675877434
6,rodrigues alves,-7.738,-72.6509,30.11,60,45,2.42,BR,1675877437
7,estevan,49.1334,-102.9842,1.23,86,0,5.14,CA,1675877440
8,udimskiy,61.1417,45.9144,-7.52,99,81,2.15,RU,1675877442
9,port blair,11.6667,92.75,27.02,69,40,3.09,IN,1675877443
10,chibuto,-24.6867,33.5306,24.68,87,62,3.44,MZ,1675877443
11,hermanus,-34.4187,19.2345,23.22,65,0,8.95,ZA,1675877444
12,albany,42.6001,-73.9662,7.19,56,55,1.79,US,1675877444
13,qaanaaq,77.484,-69.3632,-32.45,68,16,2.79,GL,1675877445
14,te anau,-45.4167,167.7167,5.51,83,80,0.69,NZ,1675877445
15,muladbucad,13.2389,123.6057,20.9,89,93,2.09,PH,1675877446
16,sisimiut,66.9395,-53.6735,-21.34,86,24,4.0,GL,1675877323
17,kloulklubed,7.0419,134.2556,24.28,76,66,5.03,PW,1675877312
18,jamestown,42.097,-79.2353,4.77,69,0,2.57,US,1675877176
19,butaritari,3.0707,172.7902,26.81,83,84,9.5,KI,1675877446
20,naze,28.3667,129.4833,16.51,79,75,5.51,JP,1675877447
21,lethem,3.3803,-59.7968,34.78,38,54,4.61,GY,1675877447
22,tiksi,71.6872,128.8694,-40.1,98,53,2.77,RU,1675877448
23,chokurdakh,70.6333,147.9167,-33.48,98,100,2.4,RU,1675877448
24,bluff,-46.6,168.3333,9.89,69,72,10.17,NZ,1675877448
25,flinders,-34.5833,150.8552,20.66,93,94,1.79,AU,1675877449
26,cape town,-33.9258,18.4232,27.97,62,0,8.49,ZA,1675877449
27,wattegama,6.7989,81.4808,21.77,90,79,1.85,LK,1675877450
28,new norfolk,-42.7826,147.0587,13.72,65,100,0.86,AU,1675877450
29,airai,-8.9266,125.4092,15.59,96,94,0.5,TL,1675877320
30,saposoa,-6.934,-76.7716,28.45,43,82,1.53,PE,1675877451
31,estelle,29.8458,-90.1067,25.56,77,100,7.72,US,1675877300
32,college,64.8569,-147.8028,-16.9,85,100,1.54,US,1675877451
33,viedma,-40.8135,-62.9967,29.88,19,1,5.2,AR,1675877364
34,kruisfontein,-34.0033,24.7314,21.05,70,100,5.77,ZA,1675877379
35,saint-pierre,-21.3393,55.4781,25.82,78,0,9.77,RE,1675877452
36,imbituba,-28.24,-48.6703,27.2,70,6,5.47,BR,1675877452
37,kapaa,22.0752,-159.319,23.18,85,40,8.23,US,1675877453
38,yellowknife,62.456,-114.3525,-22.37,95,74,1.18,CA,1675877453
39,telimele,10.9167,-13.3333,35.54,17,2,2.65,GN,1675877453
40,lata,40.1629,-8.3327,13.84,62,39,4.66,PT,1675877454
41,camacha,33.0833,-16.3333,14.68,67,40,6.69,PT,1675877455
42,buala,-8.145,159.5921,26.49,84,100,2.85,SB,1675877455
43,vaini,-21.2,-175.2,25.09,94,75,2.57,TO,1675877280
